content,score,at,thumbsUpCount,source,app_name,text,clean_text,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_label,cluster_id,topic_category
"It's the most customizable note app you'll find. However, because of this, it is a tad glitchy. I find when I try to press enter sometimes, it backspaces instead and somehow adds extra letters and just jumbles up what I do and there's not an undo button for some reason.. A tad aggravating.. But it's still worth it for the level of customization that you can't get anywhere else.",4,2025-11-27 21:44:59,30,play_store,Notion,"It's the most customizable note app you'll find. However, because of this, it is a tad glitchy. I find when I try to press enter sometimes, it backspaces instead and somehow adds extra letters and just jumbles up what I do and there's not an undo button for some reason.. A tad aggravating.. But it's still worth it for the level of customization that you can't get anywhere else.",it's the most customizable note app you'll find however because of this it is a tad glitchy i find when i try to press enter sometimes it backspaces instead and somehow adds extra letters and just jumbles up what i do and there's not an undo button for some reason a tad aggravating but it's still worth it for the level of customization that you can't get anywhere else,0.1901,0.033,0.023,positive,4,Other
"Okay, I'm in love with this app. I've always found that other productivity note apps were lacking one way or the other, so you've had to download two other apps that can do what the previous couldn't. I was simply searching for a smart checklist app, but notion is way beyond that. It's definitely worth taking the time to learn it, my scattered brain definitely feels more organized and not frustrated anymore.",5,2025-10-24 14:49:05,120,play_store,Notion,"Okay, I'm in love with this app. I've always found that other productivity note apps were lacking one way or the other, so you've had to download two other apps that can do what the previous couldn't. I was simply searching for a smart checklist app, but notion is way beyond that. It's definitely worth taking the time to learn it, my scattered brain definitely feels more organized and not frustrated anymore.",okay i'm in love with this app i've always found that other productivity note apps were lacking one way or the other so you've had to download two other apps that can do what the previous couldn't i was simply searching for a smart checklist app but notion is way beyond that it's definitely worth taking the time to learn it my scattered brain definitely feels more organized and not frustrated anymore,0.9518,0.226,0.0,positive,4,Other
"Folder 📂! Sounds trivial, but necessary for an app like this. I need a simple way to group and organise my work. Folders are excellent for that, and it's crazy that the app doesn't have it. Pages and sub-pages quickly clutter up your workspace and it's annoying. That's the only thing holding me from ditching other notes and word processing apps.",3,2025-11-05 01:03:17,145,play_store,Notion,"Folder 📂! Sounds trivial, but necessary for an app like this. I need a simple way to group and organise my work. Folders are excellent for that, and it's crazy that the app doesn't have it. Pages and sub-pages quickly clutter up your workspace and it's annoying. That's the only thing holding me from ditching other notes and word processing apps.",folder sounds trivial but necessary for an app like this i need a simple way to group and organise my work folders are excellent for that and it's crazy that the app doesn't have it pages and sub-pages quickly clutter up your workspace and it's annoying that's the only thing holding me from ditching other notes and word processing apps,0.3818,0.117,0.108,positive,2,UX & design
"I really like notion and find it really useful, so I don't want to give it up, but I run into major issues the Android app. Trying to select a favorite note to switch to right after opening the app sometimes causes a crash. Additionally, sometimes when reopening the app, the note I want will be open but then quickly replaced with a message that says this content doesn't exist, which is really frustrating when I know the note does still exist. I've had to switch back to other tools.",2,2019-04-01 04:51:06,25,play_store,Notion,"I really like notion and find it really useful, so I don't want to give it up, but I run into major issues the Android app. Trying to select a favorite note to switch to right after opening the app sometimes causes a crash. Additionally, sometimes when reopening the app, the note I want will be open but then quickly replaced with a message that says this content doesn't exist, which is really frustrating when I know the note does still exist. I've had to switch back to other tools.",i really like notion and find it really useful so i don't want to give it up but i run into major issues the android app trying to select a favorite note to switch to right after opening the app sometimes causes a crash additionally sometimes when reopening the app the note i want will be open but then quickly replaced with a message that says this content doesn't exist which is really frustrating when i know the note does still exist i've had to switch back to other tools,-0.1629,0.093,0.089,negative,4,Other
"The app is probably great, but it often logs you out and you have to re-enter your password. When you're in a hurry, I save all my data in another app; it's easier than searching for a long, complex 2FA password. Now Samsung has sent a notification that Notion will be sent to dormant apps due to inactivity. Here's a guide on how to make the app less user-friendly.",1,2025-10-23 14:45:55,11,play_store,Notion,"The app is probably great, but it often logs you out and you have to re-enter your password. When you're in a hurry, I save all my data in another app; it's easier than searching for a long, complex 2FA password. Now Samsung has sent a notification that Notion will be sent to dormant apps due to inactivity. Here's a guide on how to make the app less user-friendly.",the app is probably great but it often logs you out and you have to re-enter your password when you're in a hurry i save all my data in another app it's easier than searching for a long complex 2fa password now samsung has sent a notification that notion will be sent to dormant apps due to inactivity here's a guide on how to make the app less user-friendly,0.8898,0.138,0.0,positive,1,Features
"Haven't even used it for a week and I absolutely love it. However, there's a couple things keeping me from a 5-star review. First, I'm left-handed, and that shouldn't make a difference, but I'm accidentally opening the side menu far too often, when I really just want to scroll sideways. Second, I want to see an option that lets you open links and bookmarks in your default browser, instead of a webview that I'm just going to reopen in my main browser anyway.",4,2018-10-09 23:53:47,14,play_store,Notion,"Haven't even used it for a week and I absolutely love it. However, there's a couple things keeping me from a 5-star review. First, I'm left-handed, and that shouldn't make a difference, but I'm accidentally opening the side menu far too often, when I really just want to scroll sideways. Second, I want to see an option that lets you open links and bookmarks in your default browser, instead of a webview that I'm just going to reopen in my main browser anyway.",haven't even used it for a week and i absolutely love it however there's a couple things keeping me from a 5-star review first i'm left-handed and that shouldn't make a difference but i'm accidentally opening the side menu far too often when i really just want to scroll sideways second i want to see an option that lets you open links and bookmarks in your default browser instead of a webview that i'm just going to reopen in my main browser anyway,0.2415,0.069,0.035,positive,3,Bugs & crashes
"The interface looks good and I love the way it's set up. I love the variety of ways to connect notes. But it's difficult to do basic things sometimes. It's complicated to even just select and copy text in your notes on Android. For a Note taking app, that's inexcusable. And it's so distracting! It's a basic task I never have to think about in any other app. So to keep my flow of thoughts going when I'm taking notes, I'll have to find another app. I hope to be notified if this is ever fixed.",2,2024-08-10 23:42:17,28,play_store,Notion,"The interface looks good and I love the way it's set up. I love the variety of ways to connect notes. But it's difficult to do basic things sometimes. It's complicated to even just select and copy text in your notes on Android. For a Note taking app, that's inexcusable. And it's so distracting! It's a basic task I never have to think about in any other app. So to keep my flow of thoughts going when I'm taking notes, I'll have to find another app. I hope to be notified if this is ever fixed.",the interface looks good and i love the way it's set up i love the variety of ways to connect notes but it's difficult to do basic things sometimes it's complicated to even just select and copy text in your notes on android for a note taking app that's inexcusable and it's so distracting it's a basic task i never have to think about in any other app so to keep my flow of thoughts going when i'm taking notes i'll have to find another app i hope to be notified if this is ever fixed,0.4498,0.102,0.065,positive,4,Other
"So far it's been great. So far, I have only used it for to do list and have yet to explore the entire capabilities. To developers, I would recommend having the ability to increase the font size and select area for Android Widget (favorite items). For checkboxes, please allow the ability to hide checked items. In addition, when retyping an item have it autofill to previous item.",4,2024-02-23 22:20:18,82,play_store,Notion,"So far it's been great. So far, I have only used it for to do list and have yet to explore the entire capabilities. To developers, I would recommend having the ability to increase the font size and select area for Android Widget (favorite items). For checkboxes, please allow the ability to hide checked items. In addition, when retyping an item have it autofill to previous item.",so far it's been great so far i have only used it for to do list and have yet to explore the entire capabilities to developers i would recommend having the ability to increase the font size and select area for android widget favorite items for checkboxes please allow the ability to hide checked items in addition when retyping an item have it autofill to previous item,0.9517,0.257,0.021,positive,1,Features
"It's actually a decent note taking app when you are connected to the Internet. But it's is worse than worthless when you are out of cell service and offline like when out of town, or on an airplane, or in the driveway and the Wi-Fi is too weak to work but the phone won't switch to 5G... The app closes repeatedly but will sort-of work for a minute or two and then close and lose your note. I lost a bunch of stuff and it seems that the whole folder is corrupted now... It's a mess.",2,2024-07-18 07:59:34,43,play_store,Notion,"It's actually a decent note taking app when you are connected to the Internet. But it's is worse than worthless when you are out of cell service and offline like when out of town, or on an airplane, or in the driveway and the Wi-Fi is too weak to work but the phone won't switch to 5G... The app closes repeatedly but will sort-of work for a minute or two and then close and lose your note. I lost a bunch of stuff and it seems that the whole folder is corrupted now... It's a mess.",it's actually a decent note taking app when you are connected to the internet but it's is worse than worthless when you are out of cell service and offline like when out of town or on an airplane or in the driveway and the wi-fi is too weak to work but the phone won't switch to 5g the app closes repeatedly but will sort-of work for a minute or two and then close and lose your note i lost a bunch of stuff and it seems that the whole folder is corrupted now it's a mess,-0.9643,0.028,0.204,negative,4,Other
"On desktop Notion is a godsend, but getting anything done in this app is like pulling teeth while on fire it's so finicky and difficult to find what you're looking for. Plus if you leave the app for more than a minute, it puts you back at the homepage, which gets annoying fast if you have long or in-depth pages. Notion is a great program, just not on mobile. Also they need to add a toggle to disable AI integration so bad I'm so tired of seeing it. I straight up just do not care about it.",3,2024-09-14 14:40:09,54,play_store,Notion,"On desktop Notion is a godsend, but getting anything done in this app is like pulling teeth while on fire it's so finicky and difficult to find what you're looking for. Plus if you leave the app for more than a minute, it puts you back at the homepage, which gets annoying fast if you have long or in-depth pages. Notion is a great program, just not on mobile. Also they need to add a toggle to disable AI integration so bad I'm so tired of seeing it. I straight up just do not care about it.",on desktop notion is a godsend but getting anything done in this app is like pulling teeth while on fire it's so finicky and difficult to find what you're looking for plus if you leave the app for more than a minute it puts you back at the homepage which gets annoying fast if you have long or in-depth pages notion is a great program just not on mobile also they need to add a toggle to disable ai integration so bad i'm so tired of seeing it i straight up just do not care about it,-0.9172,0.109,0.204,negative,5,Features
"i have used this app on many platforms for many months and ive noticed that on pc, it's has no issues at all. on mobile, there are a couple things that happen, like a little bit of lagging or words jumping, but thats very minor. on my tablet, its about the same, just slightly different. however, i always see the team making improvements to the app! highly recommend using Notion because of its blend of note taking, organization and aesthetics.",5,2024-05-13 20:52:11,104,play_store,Notion,"i have used this app on many platforms for many months and ive noticed that on pc, it's has no issues at all. on mobile, there are a couple things that happen, like a little bit of lagging or words jumping, but thats very minor. on my tablet, its about the same, just slightly different. however, i always see the team making improvements to the app! highly recommend using Notion because of its blend of note taking, organization and aesthetics.",i have used this app on many platforms for many months and ive noticed that on pc it's has no issues at all on mobile there are a couple things that happen like a little bit of lagging or words jumping but thats very minor on my tablet its about the same just slightly different however i always see the team making improvements to the app highly recommend using notion because of its blend of note taking organization and aesthetics,0.7485,0.097,0.035,positive,4,Other
"Notion's databases are amazing, and I love that you can see the data in multiple ways. Awesome. But, I don't care for the way the handle backlinks - kind of a lazy developer way to do it - and the icon for linked pages is obnoxious, ruining for me an otherwise pretty UI. The biggest thing is that you cannot store the data offline, locally. I work for a Fortune 500 company that doesn't allow info to be stored online by a 3rd party. Users, companies want to own their data. Bad.",3,2022-06-22 10:38:10,40,play_store,Notion,"Notion's databases are amazing, and I love that you can see the data in multiple ways. Awesome. But, I don't care for the way the handle backlinks - kind of a lazy developer way to do it - and the icon for linked pages is obnoxious, ruining for me an otherwise pretty UI. The biggest thing is that you cannot store the data offline, locally. I work for a Fortune 500 company that doesn't allow info to be stored online by a 3rd party. Users, companies want to own their data. Bad.",notion's databases are amazing and i love that you can see the data in multiple ways awesome but i don't care for the way the handle backlinks - kind of a lazy developer way to do it - and the icon for linked pages is obnoxious ruining for me an otherwise pretty ui the biggest thing is that you cannot store the data offline locally i work for a fortune 500 company that doesn't allow info to be stored online by a 3rd party users companies want to own their data bad,-0.7042,0.143,0.185,negative,3,Bugs & crashes
"This is a fantastic system that can be used for way more than just note-taking! I use it to organize and run my online business and track my life tasks, events & meal planning. When I was in college, it was great for keeping track of assignments, notes, and information, even drafting my thesis paper inside the app instead of Google Docs or Word, which you could do and link or embed. I also keep a list of wishlist items and so much more! This is one of the most used apps on my phone!",5,2024-05-16 20:49:25,88,play_store,Notion,"This is a fantastic system that can be used for way more than just note-taking! I use it to organize and run my online business and track my life tasks, events & meal planning. When I was in college, it was great for keeping track of assignments, notes, and information, even drafting my thesis paper inside the app instead of Google Docs or Word, which you could do and link or embed. I also keep a list of wishlist items and so much more! This is one of the most used apps on my phone!",this is a fantastic system that can be used for way more than just note-taking i use it to organize and run my online business and track my life tasks events meal planning when i was in college it was great for keeping track of assignments notes and information even drafting my thesis paper inside the app instead of google docs or word which you could do and link or embed i also keep a list of wishlist items and so much more this is one of the most used apps on my phone,0.8271,0.077,0.0,positive,4,Other
"It's really easy to use! It's made writing a breeze, and unlike Google Docs, my works won't be sold to AI companies to train AI writing services. My main pet-peeves are being unable to indent a paragraph -- but that can be easily solved with the space bar; and the use of some AI within the app (they aren't required, I just refuse to use those functions, but I don't personally approve of the use of AI).",5,2024-05-09 00:46:29,59,play_store,Notion,"It's really easy to use! It's made writing a breeze, and unlike Google Docs, my works won't be sold to AI companies to train AI writing services. My main pet-peeves are being unable to indent a paragraph -- but that can be easily solved with the space bar; and the use of some AI within the app (they aren't required, I just refuse to use those functions, but I don't personally approve of the use of AI).",it's really easy to use it's made writing a breeze and unlike google docs my works won't be sold to ai companies to train ai writing services my main pet-peeves are being unable to indent a paragraph -- but that can be easily solved with the space bar and the use of some ai within the app they aren't required i just refuse to use those functions but i don't personally approve of the use of ai,0.6183,0.094,0.033,positive,5,Features
"I love Notion. I've always had trouble keeping myself organized and keeping appointments. With Notion, I don't miss any appointments, and I can do everything in one place. I think it's great and would recommend it to anyone struggling to keep organized. I also love the share option so others can comment/ read if you chose. I think it's awesome!",5,2025-01-17 23:32:02,25,play_store,Notion,"I love Notion. I've always had trouble keeping myself organized and keeping appointments. With Notion, I don't miss any appointments, and I can do everything in one place. I think it's great and would recommend it to anyone struggling to keep organized. I also love the share option so others can comment/ read if you chose. I think it's awesome!",i love notion i've always had trouble keeping myself organized and keeping appointments with notion i don't miss any appointments and i can do everything in one place i think it's great and would recommend it to anyone struggling to keep organized i also love the share option so others can comment read if you chose i think it's awesome,0.9534,0.287,0.069,positive,1,Features
"Finding out that Notion didn't have an offline mode was an unpleasant surprise for me. I needed to make an important note, but didn't have reception or WiFi. Ended up just writing in Obsidian. On that note (ha), no other note taking app is missing this critical feature. I started to move my notes to Notion, but now will be moving back away until it has a stable offline mode. It's just not acceptable, especially if you're charging money.",2,2024-08-17 03:37:00,52,play_store,Notion,"Finding out that Notion didn't have an offline mode was an unpleasant surprise for me. I needed to make an important note, but didn't have reception or WiFi. Ended up just writing in Obsidian. On that note (ha), no other note taking app is missing this critical feature. I started to move my notes to Notion, but now will be moving back away until it has a stable offline mode. It's just not acceptable, especially if you're charging money.",finding out that notion didn't have an offline mode was an unpleasant surprise for me i needed to make an important note but didn't have reception or wifi ended up just writing in obsidian on that note ha no other note taking app is missing this critical feature i started to move my notes to notion but now will be moving back away until it has a stable offline mode it's just not acceptable especially if you're charging money,-0.7388,0.108,0.164,negative,4,Other
"A fine, basic list-making app. It updates quickly and accurately between platforms, which was the main function I was looking for. However, there's no way to print directly from the platform, and you can't change the size or font, can't use bold or italics, and can't do anything about the (sometimes funky) line spacing. Still, it's my go-to list app, and that says something!",3,2025-07-12 00:27:47,25,play_store,Notion,"A fine, basic list-making app. It updates quickly and accurately between platforms, which was the main function I was looking for. However, there's no way to print directly from the platform, and you can't change the size or font, can't use bold or italics, and can't do anything about the (sometimes funky) line spacing. Still, it's my go-to list app, and that says something!",a fine basic list-making app it updates quickly and accurately between platforms which was the main function i was looking for however there's no way to print directly from the platform and you can't change the size or font can't use bold or italics and can't do anything about the sometimes funky line spacing still it's my go-to list app and that says something,-0.4559,0.027,0.086,negative,2,UX & design
"I'm really enjoying the app so far! My only issue is that it creates temporary files in my gallery, which I have to delete regularly. Other than that, I love how well organized it is; even the free version. Being able to create multiple folders for things like gaming notes and important info like doctor’s notes is super helpful and makes it easy to find what I need. It's visually appealing too : I'm glad I can change the color of different notes and I think having the emoji is a cute add on.",4,2025-05-02 09:45:33,36,play_store,Notion,"I'm really enjoying the app so far! My only issue is that it creates temporary files in my gallery, which I have to delete regularly. Other than that, I love how well organized it is; even the free version. Being able to create multiple folders for things like gaming notes and important info like doctor’s notes is super helpful and makes it easy to find what I need. It's visually appealing too : I'm glad I can change the color of different notes and I think having the emoji is a cute add on.",i'm really enjoying the app so far my only issue is that it creates temporary files in my gallery which i have to delete regularly other than that i love how well organized it is even the free version being able to create multiple folders for things like gaming notes and important info like doctor s notes is super helpful and makes it easy to find what i need it's visually appealing too i'm glad i can change the color of different notes and i think having the emoji is a cute add on,0.989,0.333,0.0,positive,1,Features
"Nifty service for note taking, and so much more. I love that the free membership allows for some limited sharing, which is a great way when you want to share grocery lists with a spouse or party plans with a friend, without needing everyone to have a paid account (I currently have a paid account through work). Plus you can create the equivolent of your own databases. Could use some improvements on supporting things like recurring tasks, and integration with external calendars...but I love it.",5,2020-10-07 19:25:16,24,play_store,Notion,"Nifty service for note taking, and so much more. I love that the free membership allows for some limited sharing, which is a great way when you want to share grocery lists with a spouse or party plans with a friend, without needing everyone to have a paid account (I currently have a paid account through work). Plus you can create the equivolent of your own databases. Could use some improvements on supporting things like recurring tasks, and integration with external calendars...but I love it.",nifty service for note taking and so much more i love that the free membership allows for some limited sharing which is a great way when you want to share grocery lists with a spouse or party plans with a friend without needing everyone to have a paid account i currently have a paid account through work plus you can create the equivolent of your own databases could use some improvements on supporting things like recurring tasks and integration with external calendars but i love it,0.9724,0.297,0.014,positive,4,Other
"After installing and signing up, I found someone had shared a workspace with me, containing one shortened link and no text, which I assumed was spam or worse. I had never accepted any share, so I don't know what it was there. I couldn't find any way to remove the share from my account, and there were many times that things didn't work, such as the settings not loading. I gave up, deleted my account, and purged the app. The templates looked like maybe they would be useful, but not revolutionary.",2,2022-08-06 05:05:49,4,play_store,Notion,"After installing and signing up, I found someone had shared a workspace with me, containing one shortened link and no text, which I assumed was spam or worse. I had never accepted any share, so I don't know what it was there. I couldn't find any way to remove the share from my account, and there were many times that things didn't work, such as the settings not loading. I gave up, deleted my account, and purged the app. The templates looked like maybe they would be useful, but not revolutionary.",after installing and signing up i found someone had shared a workspace with me containing one shortened link and no text which i assumed was spam or worse i had never accepted any share so i don't know what it was there i couldn't find any way to remove the share from my account and there were many times that things didn't work such as the settings not loading i gave up deleted my account and purged the app the templates looked like maybe they would be useful but not revolutionary,-0.0647,0.072,0.085,negative,2,UX & design
