content,score,at,thumbsUpCount,source,app_name,text
"It's the most customizable note app you'll find. However, because of this, it is a tad glitchy. I find when I try to press enter sometimes, it backspaces instead and somehow adds extra letters and just jumbles up what I do and there's not an undo button for some reason.. A tad aggravating.. But it's still worth it for the level of customization that you can't get anywhere else.",4,2025-11-27 21:44:59,30,play_store,Notion,"It's the most customizable note app you'll find. However, because of this, it is a tad glitchy. I find when I try to press enter sometimes, it backspaces instead and somehow adds extra letters and just jumbles up what I do and there's not an undo button for some reason.. A tad aggravating.. But it's still worth it for the level of customization that you can't get anywhere else."
"Okay, I'm in love with this app. I've always found that other productivity note apps were lacking one way or the other, so you've had to download two other apps that can do what the previous couldn't. I was simply searching for a smart checklist app, but notion is way beyond that. It's definitely worth taking the time to learn it, my scattered brain definitely feels more organized and not frustrated anymore.",5,2025-10-24 14:49:05,120,play_store,Notion,"Okay, I'm in love with this app. I've always found that other productivity note apps were lacking one way or the other, so you've had to download two other apps that can do what the previous couldn't. I was simply searching for a smart checklist app, but notion is way beyond that. It's definitely worth taking the time to learn it, my scattered brain definitely feels more organized and not frustrated anymore."
"Folder 📂! Sounds trivial, but necessary for an app like this. I need a simple way to group and organise my work. Folders are excellent for that, and it's crazy that the app doesn't have it. Pages and sub-pages quickly clutter up your workspace and it's annoying. That's the only thing holding me from ditching other notes and word processing apps.",3,2025-11-05 01:03:17,145,play_store,Notion,"Folder 📂! Sounds trivial, but necessary for an app like this. I need a simple way to group and organise my work. Folders are excellent for that, and it's crazy that the app doesn't have it. Pages and sub-pages quickly clutter up your workspace and it's annoying. That's the only thing holding me from ditching other notes and word processing apps."
"I really like notion and find it really useful, so I don't want to give it up, but I run into major issues the Android app. Trying to select a favorite note to switch to right after opening the app sometimes causes a crash. Additionally, sometimes when reopening the app, the note I want will be open but then quickly replaced with a message that says this content doesn't exist, which is really frustrating when I know the note does still exist. I've had to switch back to other tools.",2,2019-04-01 04:51:06,25,play_store,Notion,"I really like notion and find it really useful, so I don't want to give it up, but I run into major issues the Android app. Trying to select a favorite note to switch to right after opening the app sometimes causes a crash. Additionally, sometimes when reopening the app, the note I want will be open but then quickly replaced with a message that says this content doesn't exist, which is really frustrating when I know the note does still exist. I've had to switch back to other tools."
"The app is probably great, but it often logs you out and you have to re-enter your password. When you're in a hurry, I save all my data in another app; it's easier than searching for a long, complex 2FA password. Now Samsung has sent a notification that Notion will be sent to dormant apps due to inactivity. Here's a guide on how to make the app less user-friendly.",1,2025-10-23 14:45:55,11,play_store,Notion,"The app is probably great, but it often logs you out and you have to re-enter your password. When you're in a hurry, I save all my data in another app; it's easier than searching for a long, complex 2FA password. Now Samsung has sent a notification that Notion will be sent to dormant apps due to inactivity. Here's a guide on how to make the app less user-friendly."
"Haven't even used it for a week and I absolutely love it. However, there's a couple things keeping me from a 5-star review. First, I'm left-handed, and that shouldn't make a difference, but I'm accidentally opening the side menu far too often, when I really just want to scroll sideways. Second, I want to see an option that lets you open links and bookmarks in your default browser, instead of a webview that I'm just going to reopen in my main browser anyway.",4,2018-10-09 23:53:47,14,play_store,Notion,"Haven't even used it for a week and I absolutely love it. However, there's a couple things keeping me from a 5-star review. First, I'm left-handed, and that shouldn't make a difference, but I'm accidentally opening the side menu far too often, when I really just want to scroll sideways. Second, I want to see an option that lets you open links and bookmarks in your default browser, instead of a webview that I'm just going to reopen in my main browser anyway."
"The interface looks good and I love the way it's set up. I love the variety of ways to connect notes. But it's difficult to do basic things sometimes. It's complicated to even just select and copy text in your notes on Android. For a Note taking app, that's inexcusable. And it's so distracting! It's a basic task I never have to think about in any other app. So to keep my flow of thoughts going when I'm taking notes, I'll have to find another app. I hope to be notified if this is ever fixed.",2,2024-08-10 23:42:17,28,play_store,Notion,"The interface looks good and I love the way it's set up. I love the variety of ways to connect notes. But it's difficult to do basic things sometimes. It's complicated to even just select and copy text in your notes on Android. For a Note taking app, that's inexcusable. And it's so distracting! It's a basic task I never have to think about in any other app. So to keep my flow of thoughts going when I'm taking notes, I'll have to find another app. I hope to be notified if this is ever fixed."
"So far it's been great. So far, I have only used it for to do list and have yet to explore the entire capabilities. To developers, I would recommend having the ability to increase the font size and select area for Android Widget (favorite items). For checkboxes, please allow the ability to hide checked items. In addition, when retyping an item have it autofill to previous item.",4,2024-02-23 22:20:18,82,play_store,Notion,"So far it's been great. So far, I have only used it for to do list and have yet to explore the entire capabilities. To developers, I would recommend having the ability to increase the font size and select area for Android Widget (favorite items). For checkboxes, please allow the ability to hide checked items. In addition, when retyping an item have it autofill to previous item."
"It's actually a decent note taking app when you are connected to the Internet. But it's is worse than worthless when you are out of cell service and offline like when out of town, or on an airplane, or in the driveway and the Wi-Fi is too weak to work but the phone won't switch to 5G... The app closes repeatedly but will sort-of work for a minute or two and then close and lose your note. I lost a bunch of stuff and it seems that the whole folder is corrupted now... It's a mess.",2,2024-07-18 07:59:34,43,play_store,Notion,"It's actually a decent note taking app when you are connected to the Internet. But it's is worse than worthless when you are out of cell service and offline like when out of town, or on an airplane, or in the driveway and the Wi-Fi is too weak to work but the phone won't switch to 5G... The app closes repeatedly but will sort-of work for a minute or two and then close and lose your note. I lost a bunch of stuff and it seems that the whole folder is corrupted now... It's a mess."
"On desktop Notion is a godsend, but getting anything done in this app is like pulling teeth while on fire it's so finicky and difficult to find what you're looking for. Plus if you leave the app for more than a minute, it puts you back at the homepage, which gets annoying fast if you have long or in-depth pages. Notion is a great program, just not on mobile. Also they need to add a toggle to disable AI integration so bad I'm so tired of seeing it. I straight up just do not care about it.",3,2024-09-14 14:40:09,54,play_store,Notion,"On desktop Notion is a godsend, but getting anything done in this app is like pulling teeth while on fire it's so finicky and difficult to find what you're looking for. Plus if you leave the app for more than a minute, it puts you back at the homepage, which gets annoying fast if you have long or in-depth pages. Notion is a great program, just not on mobile. Also they need to add a toggle to disable AI integration so bad I'm so tired of seeing it. I straight up just do not care about it."
"i have used this app on many platforms for many months and ive noticed that on pc, it's has no issues at all. on mobile, there are a couple things that happen, like a little bit of lagging or words jumping, but thats very minor. on my tablet, its about the same, just slightly different. however, i always see the team making improvements to the app! highly recommend using Notion because of its blend of note taking, organization and aesthetics.",5,2024-05-13 20:52:11,104,play_store,Notion,"i have used this app on many platforms for many months and ive noticed that on pc, it's has no issues at all. on mobile, there are a couple things that happen, like a little bit of lagging or words jumping, but thats very minor. on my tablet, its about the same, just slightly different. however, i always see the team making improvements to the app! highly recommend using Notion because of its blend of note taking, organization and aesthetics."
"Notion's databases are amazing, and I love that you can see the data in multiple ways. Awesome. But, I don't care for the way the handle backlinks - kind of a lazy developer way to do it - and the icon for linked pages is obnoxious, ruining for me an otherwise pretty UI. The biggest thing is that you cannot store the data offline, locally. I work for a Fortune 500 company that doesn't allow info to be stored online by a 3rd party. Users, companies want to own their data. Bad.",3,2022-06-22 10:38:10,40,play_store,Notion,"Notion's databases are amazing, and I love that you can see the data in multiple ways. Awesome. But, I don't care for the way the handle backlinks - kind of a lazy developer way to do it - and the icon for linked pages is obnoxious, ruining for me an otherwise pretty UI. The biggest thing is that you cannot store the data offline, locally. I work for a Fortune 500 company that doesn't allow info to be stored online by a 3rd party. Users, companies want to own their data. Bad."
"This is a fantastic system that can be used for way more than just note-taking! I use it to organize and run my online business and track my life tasks, events & meal planning. When I was in college, it was great for keeping track of assignments, notes, and information, even drafting my thesis paper inside the app instead of Google Docs or Word, which you could do and link or embed. I also keep a list of wishlist items and so much more! This is one of the most used apps on my phone!",5,2024-05-16 20:49:25,88,play_store,Notion,"This is a fantastic system that can be used for way more than just note-taking! I use it to organize and run my online business and track my life tasks, events & meal planning. When I was in college, it was great for keeping track of assignments, notes, and information, even drafting my thesis paper inside the app instead of Google Docs or Word, which you could do and link or embed. I also keep a list of wishlist items and so much more! This is one of the most used apps on my phone!"
"It's really easy to use! It's made writing a breeze, and unlike Google Docs, my works won't be sold to AI companies to train AI writing services. My main pet-peeves are being unable to indent a paragraph -- but that can be easily solved with the space bar; and the use of some AI within the app (they aren't required, I just refuse to use those functions, but I don't personally approve of the use of AI).",5,2024-05-09 00:46:29,59,play_store,Notion,"It's really easy to use! It's made writing a breeze, and unlike Google Docs, my works won't be sold to AI companies to train AI writing services. My main pet-peeves are being unable to indent a paragraph -- but that can be easily solved with the space bar; and the use of some AI within the app (they aren't required, I just refuse to use those functions, but I don't personally approve of the use of AI)."
"I love Notion. I've always had trouble keeping myself organized and keeping appointments. With Notion, I don't miss any appointments, and I can do everything in one place. I think it's great and would recommend it to anyone struggling to keep organized. I also love the share option so others can comment/ read if you chose. I think it's awesome!",5,2025-01-17 23:32:02,25,play_store,Notion,"I love Notion. I've always had trouble keeping myself organized and keeping appointments. With Notion, I don't miss any appointments, and I can do everything in one place. I think it's great and would recommend it to anyone struggling to keep organized. I also love the share option so others can comment/ read if you chose. I think it's awesome!"
"Finding out that Notion didn't have an offline mode was an unpleasant surprise for me. I needed to make an important note, but didn't have reception or WiFi. Ended up just writing in Obsidian. On that note (ha), no other note taking app is missing this critical feature. I started to move my notes to Notion, but now will be moving back away until it has a stable offline mode. It's just not acceptable, especially if you're charging money.",2,2024-08-17 03:37:00,52,play_store,Notion,"Finding out that Notion didn't have an offline mode was an unpleasant surprise for me. I needed to make an important note, but didn't have reception or WiFi. Ended up just writing in Obsidian. On that note (ha), no other note taking app is missing this critical feature. I started to move my notes to Notion, but now will be moving back away until it has a stable offline mode. It's just not acceptable, especially if you're charging money."
"A fine, basic list-making app. It updates quickly and accurately between platforms, which was the main function I was looking for. However, there's no way to print directly from the platform, and you can't change the size or font, can't use bold or italics, and can't do anything about the (sometimes funky) line spacing. Still, it's my go-to list app, and that says something!",3,2025-07-12 00:27:47,25,play_store,Notion,"A fine, basic list-making app. It updates quickly and accurately between platforms, which was the main function I was looking for. However, there's no way to print directly from the platform, and you can't change the size or font, can't use bold or italics, and can't do anything about the (sometimes funky) line spacing. Still, it's my go-to list app, and that says something!"
"I'm really enjoying the app so far! My only issue is that it creates temporary files in my gallery, which I have to delete regularly. Other than that, I love how well organized it is; even the free version. Being able to create multiple folders for things like gaming notes and important info like doctor’s notes is super helpful and makes it easy to find what I need. It's visually appealing too : I'm glad I can change the color of different notes and I think having the emoji is a cute add on.",4,2025-05-02 09:45:33,36,play_store,Notion,"I'm really enjoying the app so far! My only issue is that it creates temporary files in my gallery, which I have to delete regularly. Other than that, I love how well organized it is; even the free version. Being able to create multiple folders for things like gaming notes and important info like doctor’s notes is super helpful and makes it easy to find what I need. It's visually appealing too : I'm glad I can change the color of different notes and I think having the emoji is a cute add on."
"Nifty service for note taking, and so much more. I love that the free membership allows for some limited sharing, which is a great way when you want to share grocery lists with a spouse or party plans with a friend, without needing everyone to have a paid account (I currently have a paid account through work). Plus you can create the equivolent of your own databases. Could use some improvements on supporting things like recurring tasks, and integration with external calendars...but I love it.",5,2020-10-07 19:25:16,24,play_store,Notion,"Nifty service for note taking, and so much more. I love that the free membership allows for some limited sharing, which is a great way when you want to share grocery lists with a spouse or party plans with a friend, without needing everyone to have a paid account (I currently have a paid account through work). Plus you can create the equivolent of your own databases. Could use some improvements on supporting things like recurring tasks, and integration with external calendars...but I love it."
"After installing and signing up, I found someone had shared a workspace with me, containing one shortened link and no text, which I assumed was spam or worse. I had never accepted any share, so I don't know what it was there. I couldn't find any way to remove the share from my account, and there were many times that things didn't work, such as the settings not loading. I gave up, deleted my account, and purged the app. The templates looked like maybe they would be useful, but not revolutionary.",2,2022-08-06 05:05:49,4,play_store,Notion,"After installing and signing up, I found someone had shared a workspace with me, containing one shortened link and no text, which I assumed was spam or worse. I had never accepted any share, so I don't know what it was there. I couldn't find any way to remove the share from my account, and there were many times that things didn't work, such as the settings not loading. I gave up, deleted my account, and purged the app. The templates looked like maybe they would be useful, but not revolutionary."
"Absolutely love Notion on desktop, but I'm considering moving to a different app due to the terrible mobile experience. Startup is much slower than competitors, taking well over 5 seconds, which is annoying and troublesome when I just want to jot down some notes or check my todo-list quickly. In addition, it crashes about 50% of the time which just makes it worse.   If the development team just put a little bit more focus on the mobile side, Notion would definitely be my go-to!",1,2019-04-01 22:03:40,31,play_store,Notion,"Absolutely love Notion on desktop, but I'm considering moving to a different app due to the terrible mobile experience. Startup is much slower than competitors, taking well over 5 seconds, which is annoying and troublesome when I just want to jot down some notes or check my todo-list quickly. In addition, it crashes about 50% of the time which just makes it worse.   If the development team just put a little bit more focus on the mobile side, Notion would definitely be my go-to!"
Notion is a very robust tool if you have the time to invest into it. I have been using it regularly for the past several months and its systems are still a bit confusing. I've watched multiple videos to unlcok more of Notions potential but you really are learning a second language. I use this across all of my devices but I'm sad to say if you're a chromebook user you might be out of luck. It really just doesn't work well. Certain keys won't type and the menu button doesn't work at all.,3,2023-08-03 05:33:03,15,play_store,Notion,Notion is a very robust tool if you have the time to invest into it. I have been using it regularly for the past several months and its systems are still a bit confusing. I've watched multiple videos to unlcok more of Notions potential but you really are learning a second language. I use this across all of my devices but I'm sad to say if you're a chromebook user you might be out of luck. It really just doesn't work well. Certain keys won't type and the menu button doesn't work at all.
"I moved over here since Evernote trashed their free plan, and it's a bit more of a learning curve, but I really like it so far! A few complaints, though. I don't like that columns don't appear on mobile. It also loads very slowly, images and emojis take a while to pop in and even plain text takes too long. There's also no way I know of to search for text within a page (like a Control+F on PC), which is a super basic function for a notes app to have!!",4,2023-12-08 10:33:46,112,play_store,Notion,"I moved over here since Evernote trashed their free plan, and it's a bit more of a learning curve, but I really like it so far! A few complaints, though. I don't like that columns don't appear on mobile. It also loads very slowly, images and emojis take a while to pop in and even plain text takes too long. There's also no way I know of to search for text within a page (like a Control+F on PC), which is a super basic function for a notes app to have!!"
"The app keeps logging me out, especially when I swipe between it and something else with the new pill UI in Android Pie (like Chrome or Gmail). It feels like I need to log in 2-4 times per day, and sometimes it kicks me out in the middle of writing to make me log in again. I'd also love to see the loading times fixed. That being said, Notion is still one of my favorite productivity apps.",3,2019-04-24 19:18:52,4,play_store,Notion,"The app keeps logging me out, especially when I swipe between it and something else with the new pill UI in Android Pie (like Chrome or Gmail). It feels like I need to log in 2-4 times per day, and sometimes it kicks me out in the middle of writing to make me log in again. I'd also love to see the loading times fixed. That being said, Notion is still one of my favorite productivity apps."
"A bit slow, but it does the job for when I want to jot stuff down quickly and not on the computer. Overall, an amazing service and for free (if you're 1 person who doesn't need to share) I've spent the last almost 5 hours organizing and writing goals, it's a very easy tool to understand, and gratifying to do. I probably added about 250 books that I eventually plan on reading, and it handled each row and column in the organized table fairly well, it started lagging after around 200",5,2023-02-26 13:07:26,18,play_store,Notion,"A bit slow, but it does the job for when I want to jot stuff down quickly and not on the computer. Overall, an amazing service and for free (if you're 1 person who doesn't need to share) I've spent the last almost 5 hours organizing and writing goals, it's a very easy tool to understand, and gratifying to do. I probably added about 250 books that I eventually plan on reading, and it handled each row and column in the organized table fairly well, it started lagging after around 200"
"Almost not worth using. Love the desktop app. But on Note 9, constantly crashes, constantly requires me to go through process of new user sign up then jumps straight into my account, if you mutli task or not in good cell coverage and an asset doesn't fully finish uploading you lose the asset, no offline. Even though it's our core collaboration tool I can barely stand to keep it on my phone and using other apps to make up for it or waiting to get back to desk.",2,2019-11-13 20:11:50,4,play_store,Notion,"Almost not worth using. Love the desktop app. But on Note 9, constantly crashes, constantly requires me to go through process of new user sign up then jumps straight into my account, if you mutli task or not in good cell coverage and an asset doesn't fully finish uploading you lose the asset, no offline. Even though it's our core collaboration tool I can barely stand to keep it on my phone and using other apps to make up for it or waiting to get back to desk."
"Notion seems to be much, much more oriented to desktop users, ones who always have a steady Internet connection and can load things quickly. I primarily use Notion on my phone, on normally slow data or WiFi connections, which can make loading the app and trying to quickly save notes a hassle, especially if they don't upload before you close the app and they're lost! Unfortunately, I'm going to be switching to Google Keep. I love the complexity Notion allows in notes, though.",3,2023-07-24 08:44:06,76,play_store,Notion,"Notion seems to be much, much more oriented to desktop users, ones who always have a steady Internet connection and can load things quickly. I primarily use Notion on my phone, on normally slow data or WiFi connections, which can make loading the app and trying to quickly save notes a hassle, especially if they don't upload before you close the app and they're lost! Unfortunately, I'm going to be switching to Google Keep. I love the complexity Notion allows in notes, though."
"Perfect. I don't think I'm your target user but I'm finding it perfect for what I need. I'm a stay-at-home mom and I needed something to keep me organized and ""together"" while also allowing me to personalize the look and feel of the app. and this is perfect. It's the right amount of Minimal and Colorful. thank you. I would love to see reccuring event's added to the calendar though. that was sort of a big issue for me. And maybe phone calender integration. thanks for this app!!",5,2019-06-21 17:59:11,12,play_store,Notion,"Perfect. I don't think I'm your target user but I'm finding it perfect for what I need. I'm a stay-at-home mom and I needed something to keep me organized and ""together"" while also allowing me to personalize the look and feel of the app. and this is perfect. It's the right amount of Minimal and Colorful. thank you. I would love to see reccuring event's added to the calendar though. that was sort of a big issue for me. And maybe phone calender integration. thanks for this app!!"
"I give the Desktop a 5 star review. The mobile has bugs, takes a long time to open, sometimes have to force the app closed. Other times when saving my work, get the spinning circle of death and loose my work. Having to force the app close to get it working again. I keep using the mobile app, knowing they fix these problems and it will be just as good as the desktop.",2,2020-01-07 15:49:14,12,play_store,Notion,"I give the Desktop a 5 star review. The mobile has bugs, takes a long time to open, sometimes have to force the app closed. Other times when saving my work, get the spinning circle of death and loose my work. Having to force the app close to get it working again. I keep using the mobile app, knowing they fix these problems and it will be just as good as the desktop."
Love this app but I can no longer use it for notes on my phone. As I'm writing the app will delete whole paragraphs of what's already been written. It won't allow me to restore the text. So the app is unusable for the primary function I use it for. On my computer it's fine but on my phone it's basically read only at this point. Please fix this issue! I've lost so many notes to the app eating them! Sometimes I don't notice until I go to read my notes and find massive chunks missing. Not good!!,2,2023-06-06 04:41:42,64,play_store,Notion,Love this app but I can no longer use it for notes on my phone. As I'm writing the app will delete whole paragraphs of what's already been written. It won't allow me to restore the text. So the app is unusable for the primary function I use it for. On my computer it's fine but on my phone it's basically read only at this point. Please fix this issue! I've lost so many notes to the app eating them! Sometimes I don't notice until I go to read my notes and find massive chunks missing. Not good!!
"The companion app to the web/desktop version really needs a lot of optimization work. If all you need to do is read what youve already written, maybe check off some stuff, the app works fine. But doing something as simple as typing in a note lags and misses keystrokes. You have to type very slowly and wait for every letter to show up before typing the next one. Also, startup is 5+ seconds. Hopefully the team works on performance.",3,2019-05-08 21:56:35,10,play_store,Notion,"The companion app to the web/desktop version really needs a lot of optimization work. If all you need to do is read what youve already written, maybe check off some stuff, the app works fine. But doing something as simple as typing in a note lags and misses keystrokes. You have to type very slowly and wait for every letter to show up before typing the next one. Also, startup is 5+ seconds. Hopefully the team works on performance."
"Notion is great on it's own on desktop machines, this app has sucked too much pond scum. For a while it was almost usable, then each upgrade seemed to be getting slower and slower, recently I've not been able to get the app to reliably even give me an error, much less actually do something useful it now works on four of six Android devices, it is painfully slow on a couple of the newer devices (July 14, 2020 update)",4,2020-07-15 04:06:05,2,play_store,Notion,"Notion is great on it's own on desktop machines, this app has sucked too much pond scum. For a while it was almost usable, then each upgrade seemed to be getting slower and slower, recently I've not been able to get the app to reliably even give me an error, much less actually do something useful it now works on four of six Android devices, it is painfully slow on a couple of the newer devices (July 14, 2020 update)"
"I love notion and use it all the time, on desktop and my phone. I have used the iOS version and I would say its better. The startup is slow, overall the app is slow, and I apparently type too fast for it to keep up; even though I feel the vibration from me hitting the key, letters are often left out of my text which makes this app sometimes a hassel to use if i need to quickly take a note during my day then put my phone away.",4,2019-06-22 03:07:46,2,play_store,Notion,"I love notion and use it all the time, on desktop and my phone. I have used the iOS version and I would say its better. The startup is slow, overall the app is slow, and I apparently type too fast for it to keep up; even though I feel the vibration from me hitting the key, letters are often left out of my text which makes this app sometimes a hassel to use if i need to quickly take a note during my day then put my phone away."
"It used to be good, but the recent updates make it so slow. Opening the app and loading my pages takes a noticeably longer time. I don't even have that many pages (< 50). Plus, they added a new paid feature (AI) and force you to see the prompts for a paid feature! They don't have any way to turn it off. I know because I asked. Bad customer service. If you get locked out of your account by accident they won't help you either.",1,2023-03-16 08:14:25,14,play_store,Notion,"It used to be good, but the recent updates make it so slow. Opening the app and loading my pages takes a noticeably longer time. I don't even have that many pages (< 50). Plus, they added a new paid feature (AI) and force you to see the prompts for a paid feature! They don't have any way to turn it off. I know because I asked. Bad customer service. If you get locked out of your account by accident they won't help you either."
"1000 block limit? That's like 20 to do lists and that's it. It's fancy, but I'll stick to Google Keep, which doesn't have such an arbitrarily low limit. Why not use the user's Google Drive storage, and allow as many as you want? Totally misleading, since there's no ads or in-app purchases listed in the Play Store, but it's practically useless if you don't pay the $48-$60 for one person per year. Insane for a notes app.",2,2018-12-07 02:39:22,2,play_store,Notion,"1000 block limit? That's like 20 to do lists and that's it. It's fancy, but I'll stick to Google Keep, which doesn't have such an arbitrarily low limit. Why not use the user's Google Drive storage, and allow as many as you want? Totally misleading, since there's no ads or in-app purchases listed in the Play Store, but it's practically useless if you don't pay the $48-$60 for one person per year. Insane for a notes app."
"App is nice though the load time is very slow. There's a lot of great functionality but the amount of available storage for free is very limited. May be good enough for simple todo lists, but once you start making pages for extensive note taking or storing recipes, you'll quickly run out of space and have to upgrade and pay a monthly fee. Given other available free options, I wouldn't pay to use this service.",3,2019-07-16 00:42:13,1,play_store,Notion,"App is nice though the load time is very slow. There's a lot of great functionality but the amount of available storage for free is very limited. May be good enough for simple todo lists, but once you start making pages for extensive note taking or storing recipes, you'll quickly run out of space and have to upgrade and pay a monthly fee. Given other available free options, I wouldn't pay to use this service."
